adaptability,expertise,shared_leadership,low,medium,high,expert,method,parent_configuration
l,l,h,0.5701,0.3999,0.03,9,RNM,3
l,m,l,0.6176,0.3599,0.0225,9,RNM,4
l,m,m,0.475,0.4718,0.0532,9,RNM,5
l,m,h,0.339,0.5484,0.1126,9,RNM,6
l,h,l,0.475,0.4718,0.0532,9,RNM,7
l,h,m,0.339,0.5484,0.1126,9,RNM,8
l,h,h,0.2055,0.5886,0.2059,9,RNM,9
m,l,l,0.6623,0.3211,0.0166,9,RNM,10
m,l,m,0.5701,0.3999,0.03,9,RNM,11
m,l,h,0.475,0.4718,0.0532,9,RNM,12
m,m,l,0.3817,0.5267,0.0916,9,RNM,13
m,m,m,0.2055,0.5886,0.2059,9,RNM,14
m,m,h,0.1413,0.5739,0.2848,9,RNM,15
m,h,l,0.2055,0.5886,0.2059,9,RNM,16
m,h,m,0.1161,0.5593,0.3246,9,RNM,17
m,h,h,0.0568,0.4705,0.4727,9,RNM,18
h,l,l,0.5701,0.3999,0.03,9,RNM,19
h,l,m,0.475,0.4718,0.0532,9,RNM,20
h,l,h,0.3817,0.5267,0.0916,9,RNM,21
h,m,l,0.2055,0.5886,0.2059,9,RNM,22
h,m,m,0.1413,0.5739,0.2848,9,RNM,23
h,m,h,0.0909,0.5376,0.3715,9,RNM,24
h,h,l,0.0909,0.5376,0.3715,9,RNM,25
h,h,m,0.0335,0.4017,0.5648,9,RNM,26
h,h,h,0.0094,0.2571,0.7335,9,RNM,27
l,l,l,0.8,0.15,0.05,10,WSA,1
l,l,m,0.6,0.3,0.1,10,WSA,2
l,l,h,0.555,0.265,0.18,10,WSA,3
l,m,l,0.59,0.2725,0.1375,10,WSA,4
l,m,m,0.44,0.385,0.175,10,WSA,5
l,m,h,0.415,0.335,0.25,10,WSA,6
l,h,l,0.555,0.2375,0.2075,10,WSA,7
l,h,m,0.405,0.35,0.245,10,WSA,8
l,h,h,0.38,0.3,0.32,10,WSA,9
m,l,l,0.49,0.3825,0.1275,10,WSA,10
m,l,m,0.34,0.495,0.165,10,WSA,11
m,l,h,0.315,0.445,0.24,10,WSA,12
m,m,l,0.35,0.4525,0.1975,10,WSA,13
m,m,m,0.2,0.6,0.2,10,WSA,14
m,m,h,0.2,0.5,0.3,10,WSA,15
m,h,l,0.315,0.4175,0.2675,10,WSA,16
m,h,m,0.165,0.53,0.305,10,WSA,17
m,h,h,0.14,0.48,0.38,10,WSA,18
h,l,l,0.45,0.3025,0.2475,10,WSA,19
h,l,m,0.3,0.415,0.285,10,WSA,20
h,l,h,0.275,0.365,0.36,10,WSA,21
h,m,l,0.31,0.3725,0.3175,10,WSA,22
h,m,m,0.16,0.485,0.355,10,WSA,23
h,m,h,0.135,0.435,0.43,10,WSA,24
h,h,l,0.275,0.3375,0.3875,10,WSA,25
h,h,m,0.125,0.45,0.425,10,WSA,26
h,h,h,0.1,0.4,0.5,10,WSA,27
l,l,l,0.7235,0.1932,0.0833,10,WSAAHP,1
l,l,m,0.6334,0.2605,0.1061,10,WSAAHP,2
l,l,h,0.541,0.3205,0.1385,10,WSAAHP,3
l,m,l,0.5443,0.3549,0.1008,10,WSAAHP,4
l,m,m,0.4263,0.4538,0.1199,10,WSAAHP,5
l,m,h,0.3933,0.4586,0.1481,10,WSAAHP,6
l,h,l,0.5122,0.3384,0.1494,10,WSAAHP,7
l,h,m,0.3943,0.4373,0.1684,10,WSAAHP,8
l,h,h,0.3613,0.4421,0.1966,10,WSAAHP,9
m,l,l,0.5033,0.375,0.1217,10,WSAAHP,10
m,l,m,0.3854,0.474,0.1406,10,WSAAHP,11
m,l,h,0.3524,0.4787,0.1689,10,WSAAHP,12
m,m,l,0.3556,0.5131,0.1313,10,WSAAHP,13
m,m,m,0.2518,0.5889,0.1593,10,WSAAHP,14
m,m,h,0.2114,0.6551,0.1335,10,WSAAHP,15
m,h,l,0.3236,0.4967,0.1797,10,WSAAHP,16
m,h,m,0.2056,0.5956,0.1988,10,WSAAHP,17
m,h,h,0.1726,0.6004,0.227,10,WSAAHP,18
h,l,l,0.4505,0.3827,0.1668,10,WSAAHP,19
h,l,m,0.3326,0.4816,0.1858,10,WSAAHP,20
h,l,h,0.2996,0.4864,0.214,10,WSAAHP,21
h,m,l,0.3028,0.5208,0.1764,10,WSAAHP,22
h,m,m,0.1849,0.6197,0.1954,10,WSAAHP,23
h,m,h,0.1519,0.6245,0.2236,10,WSAAHP,24
h,h,l,0.3613,0.4421,0.1966,10,WSAAHP,25
h,h,m,0.1726,0.6004,0.227,10,WSAAHP,26
h,h,h,0.1199,0.608,0.2721,10,WSAAHP,27
l,l,l,0.7348,0.2569,0.0083,10,RNM,1
l,l,m,0.6623,0.3211,0.0166,10,RNM,2
l,l,h,0.5701,0.3999,0.03,10,RNM,3
l,m,l,0.6176,0.3599,0.0225,10,RNM,4
l,m,m,0.475,0.4718,0.0532,10,RNM,5
l,m,h,0.339,0.5484,0.1126,10,RNM,6
l,h,l,0.475,0.4718,0.0532,10,RNM,7
l,h,m,0.339,0.5484,0.1126,10,RNM,8
l,h,h,0.2055,0.5886,0.2059,10,RNM,9
m,l,l,0.6623,0.3211,0.0166,10,RNM,10
m,l,m,0.5701,0.3999,0.03,10,RNM,11
m,l,h,0.475,0.4718,0.0532,10,RNM,12
m,m,l,0.3817,0.5267,0.0916,10,RNM,13
m,m,m,0.2055,0.5886,0.2059,10,RNM,14
m,m,h,0.1413,0.5739,0.2848,10,RNM,15
m,h,l,0.2055,0.5886,0.2059,10,RNM,16
m,h,m,0.1161,0.5593,0.3246,10,RNM,17
m,h,h,0.0568,0.4705,0.4727,10,RNM,18
h,l,l,0.5701,0.3999,0.03,10,RNM,19
h,l,m,0.475,0.4718,0.0532,10,RNM,20
h,l,h,0.3817,0.5267,0.0916,10,RNM,21
h,m,l,0.2055,0.5886,0.2059,10,RNM,22
h,m,m,0.1413,0.5739,0.2848,10,RNM,23
h,m,h,0.0909,0.5376,0.3715,10,RNM,24
h,h,l,0.0909,0.5376,0.3715,10,RNM,25
h,h,m,0.0335,0.4017,0.5648,10,RNM,26
h,h,h,0.0094,0.2571,0.7335,10,RNM,27
l,l,l,0.88,0.1,0.02,1,manual,1
l,l,m,0.65,0.25,0.1,1,manual,2
l,l,h,0.65,0.3,0.05,1,manual,3
l,m,l,0.8,0.15,0.05,1,manual,4
l,m,m,0.35,0.6,0.05,1,manual,5
l,m,h,0.2,0.7,0.1,1,manual,6
l,h,l,0.25,0.6,0.15,1,manual,7
l,h,m,0.1,0.4,0.5,1,manual,8
l,h,h,0.2,0.7,0.1,1,manual,9
m,l,l,0.85,0.1,0.05,1,manual,10
m,l,m,0.8,0.15,0.05,1,manual,11
m,l,h,0.8,0.18,0.02,1,manual,12
m,m,l,0.15,0.6,0.25,1,manual,13
m,m,m,0.2,0.6,0.2,1,manual,14
m,m,h,0.3,0.5,0.2,1,manual,15
m,h,l,0.2,0.7,0.1,1,manual,16
m,h,m,0.18,0.7,0.12,1,manual,17
m,h,h,0.1,0.6,0.3,1,manual,18
h,l,l,0.55,0.3,0.15,1,manual,19
h,l,m,0.5,0.35,0.15,1,manual,20
h,l,h,0.15,0.55,0.3,1,manual,21
h,m,l,0.65,0.3,0.05,1,manual,22
h,m,m,0.05,0.4,0.55,1,manual,23
h,m,h,0.05,0.6,0.35,1,manual,24
h,h,l,0.05,0.25,0.7,1,manual,25
h,h,m,0.02,0.2,0.78,1,manual,26
h,h,h,0.02,0.1,0.88,1,manual,27
l,l,l,0.71,0.29,0,2,manual,1
l,l,m,0.6,0.39,0.01,2,manual,2
l,l,h,0.4,0.5431,0.0569,2,manual,3
l,m,l,0.6,0.3,0.1,2,manual,4
l,m,m,0.45,0.38,0.17,2,manual,5
l,m,h,0.3,0.45,0.25,2,manual,6
l,h,l,0.4027,0.5273,0.07,2,manual,7
l,h,m,0.3,0.45,0.25,2,manual,8
l,h,h,0.11,0.4931,0.3969,2,manual,9
m,l,l,0.6,0.3,0.1,2,manual,10
m,l,m,0.5,0.33,0.17,2,manual,11
m,l,h,0.3,0.45,0.25,2,manual,12
m,m,l,0.4,0.2,0.4,2,manual,13
m,m,m,0.3,0.4,0.3,2,manual,14
m,m,h,0.1,0.6,0.3,2,manual,15
m,h,l,0.25,0.45,0.3,2,manual,16
m,h,m,0.1,0.35,0.55,2,manual,17
m,h,h,0.05,0.25,0.7,2,manual,18
h,l,l,0.68,0.24,0.08,2,manual,19
h,l,m,0.5,0.35,0.15,2,manual,20
h,l,h,0.34,0.485,0.175,2,manual,21
h,m,l,0.4,0.55,0.05,2,manual,22
h,m,m,0.2,0.65,0.15,2,manual,23
h,m,h,0.1,0.7,0.2,2,manual,24
h,h,l,0.13,0.5188,0.3513,2,manual,25
h,h,m,0.1,0.3,0.6,2,manual,26
h,h,h,0.05,0.2,0.75,2,manual,27
l,l,l,0.8,0.1,0.1,3,manual,1
l,l,m,0.6,0.3,0.1,3,manual,2
l,l,h,0.5075,0.3225,0.17,3,manual,3
l,m,l,0.7,0.2,0.1,3,manual,4
l,m,m,0.6,0.3,0.1,3,manual,5
l,m,h,0.3,0.5,0.2,3,manual,6
l,h,l,0.2599,0.45,0.2901,3,manual,7
l,h,m,0.1,0.3,0.6,3,manual,8
l,h,h,0.08,0.4212,0.4988,3,manual,9
m,l,l,0.7,0.2,0.1,3,manual,10
m,l,m,0.3,0.5,0.2,3,manual,11
m,l,h,0.2,0.6,0.2,3,manual,12
m,m,l,0.2,0.5,0.3,3,manual,13
m,m,m,0.2,0.4,0.4,3,manual,14
m,m,h,0.2,0.3,0.5,3,manual,15
m,h,l,0.1,0.4,0.5,3,manual,16
m,h,m,0.1,0.3,0.6,3,manual,17
m,h,h,0.1,0.3,0.6,3,manual,18
h,l,l,0.53,0.3501,0.1199,3,manual,19
h,l,m,0.4,0.3,0.3,3,manual,20
h,l,h,0.17,0.3802,0.4498,3,manual,21
h,m,l,0.2,0.2,0.6,3,manual,22
h,m,m,0.2,0.3,0.5,3,manual,23
h,m,h,0.2,0.2,0.6,3,manual,24
h,h,l,0.0719,0.31,0.6181,3,manual,25
h,h,m,0.1,0.3,0.6,3,manual,26
h,h,h,0.1,0.2,0.7,3,manual,27
l,l,l,0.8,0.15,0.05,4,manual,1
l,l,m,0.8,0.15,0.05,4,manual,2
l,l,h,0.8,0.15,0.05,4,manual,3
l,m,l,0.55,0.4,0.05,4,manual,4
l,m,m,0.4,0.5,0.1,4,manual,5
l,m,h,0.2,0.6,0.2,4,manual,6
l,h,l,0.25,0.65,0.1,4,manual,7
l,h,m,0.2,0.65,0.15,4,manual,8
l,h,h,0.06,0.7,0.24,4,manual,9
m,l,l,0.65,0.3,0.05,4,manual,10
m,l,m,0.6,0.35,0.05,4,manual,11
m,l,h,0.5,0.35,0.15,4,manual,12
m,m,l,0.2,0.7,0.1,4,manual,13
m,m,m,0.1,0.85,0.05,4,manual,14
m,m,h,0.1,0.7,0.2,4,manual,15
m,h,l,0.3,0.5,0.2,4,manual,16
m,h,m,0.2,0.4,0.4,4,manual,17
m,h,h,0.05,0.15,0.8,4,manual,18
h,l,l,0.655,0.295,0.05,4,manual,19
h,l,m,0.5,0.45,0.05,4,manual,20
h,l,h,0.245,0.575,0.18,4,manual,21
h,m,l,0.3,0.6,0.1,4,manual,22
h,m,m,0.2,0.6,0.2,4,manual,23
h,m,h,0.05,0.4,0.55,4,manual,24
h,h,l,0.07,0.7,0.23,4,manual,25
h,h,m,0.05,0.2,0.75,4,manual,26
h,h,h,0.05,0.15,0.8,4,manual,27
l,l,l,0.85,0.1,0.05,5,manual,1
l,l,m,0.7,0.25,0.05,5,manual,2
l,l,h,0.7,0.2,0.1,5,manual,3
l,m,l,0.6,0.35,0.05,5,manual,4
l,m,m,0.4,0.55,0.05,5,manual,5
l,m,h,0.15,0.7,0.15,5,manual,6
l,h,l,0.23,0.57,0.2,5,manual,7
l,h,m,0.1,0.3,0.6,5,manual,8
l,h,h,0.15,0.25,0.6,5,manual,9
m,l,l,0.8,0.15,0.05,5,manual,10
m,l,m,0.3,0.65,0.05,5,manual,11
m,l,h,0.1,0.65,0.25,5,manual,12
m,m,l,0.45,0.5,0.05,5,manual,13
m,m,m,0.1,0.8,0.1,5,manual,14
m,m,h,0.2,0.6,0.2,5,manual,15
m,h,l,0.3,0.3,0.4,5,manual,16
m,h,m,0.1,0.6,0.3,5,manual,17
m,h,h,0.05,0.2,0.75,5,manual,18
h,l,l,0.6,0.3,0.1,5,manual,19
h,l,m,0.4,0.4,0.2,5,manual,20
h,l,h,0.28,0.45,0.27,5,manual,21
h,m,l,0.2,0.4,0.4,5,manual,22
h,m,m,0.05,0.35,0.6,5,manual,23
h,m,h,0.05,0.25,0.7,5,manual,24
h,h,l,0.03,0.22,0.75,5,manual,25
h,h,m,0.01,0.24,0.75,5,manual,26
h,h,h,0.05,0.1,0.85,5,manual,27
l,l,l,0.7,0.25,0.05,6,manual,1
l,l,m,0.5,0.4,0.1,6,manual,2
l,l,h,0.65,0.2875,0.0625,6,manual,3
l,m,l,0.6,0.35,0.05,6,manual,4
l,m,m,0.2,0.6,0.2,6,manual,5
l,m,h,0.1,0.3,0.6,6,manual,6
l,h,l,0.3,0.4975,0.2025,6,manual,7
l,h,m,0.05,0.25,0.7,6,manual,8
l,h,h,0.15,0.3,0.55,6,manual,9
m,l,l,0.8,0.15,0.05,6,manual,10
m,l,m,0.3,0.6,0.1,6,manual,11
m,l,h,0.7,0.2,0.1,6,manual,12
m,m,l,0.2,0.7,0.1,6,manual,13
m,m,m,0.1,0.6,0.3,6,manual,14
m,m,h,0.1,0.6,0.3,6,manual,15
m,h,l,0.2,0.4,0.4,6,manual,16
m,h,m,0.1,0.5,0.4,6,manual,17
m,h,h,0.05,0.15,0.8,6,manual,18
h,l,l,0.7,0.25,0.05,6,manual,19
h,l,m,0.2,0.4,0.4,6,manual,20
h,l,h,0.29,0.3622,0.3478,6,manual,21
h,m,l,0.3,0.4,0.3,6,manual,22
h,m,m,0.05,0.1,0.85,6,manual,23
h,m,h,0.05,0.15,0.8,6,manual,24
h,h,l,0.0806,0.2194,0.7,6,manual,25
h,h,m,0.05,0.15,0.8,6,manual,26
h,h,h,0.05,0.2,0.75,6,manual,27
l,l,l,0.8,0.15,0.05,7,manual,1
l,l,m,0.6,0.3,0.1,7,manual,2
l,l,h,0.44,0.3025,0.2575,7,manual,3
l,m,l,0.7,0.25,0.05,7,manual,4
l,m,m,0.5,0.35,0.15,7,manual,5
l,m,h,0.3,0.5,0.2,7,manual,6
l,h,l,0.5,0.3025,0.1975,7,manual,7
l,h,m,0.4,0.45,0.15,7,manual,8
l,h,h,0.3575,0.46,0.1825,7,manual,9
m,l,l,0.7,0.25,0.05,7,manual,10
m,l,m,0.5,0.35,0.15,7,manual,11
m,l,h,0.3,0.5,0.2,7,manual,12
m,m,l,0.1,0.6,0.3,7,manual,13
m,m,m,0.1,0.7,0.2,7,manual,14
m,m,h,0.15,0.5,0.35,7,manual,15
m,h,l,0.3,0.5,0.2,7,manual,16
m,h,m,0.25,0.45,0.3,7,manual,17
m,h,h,0.1,0.25,0.65,7,manual,18
h,l,l,0.4725,0.2975,0.23,7,manual,19
h,l,m,0.3,0.5,0.2,7,manual,20
h,l,h,0.32,0.5138,0.1663,7,manual,21
h,m,l,0.3,0.5,0.2,7,manual,22
h,m,m,0.2,0.4,0.5,7,manual,23
h,m,h,0.1,0.3,0.6,7,manual,24
h,h,l,0.06,0.28,0.66,7,manual,25
h,h,m,0.01,0.25,0.74,7,manual,26
h,h,h,0.005,0.015,0.98,7,manual,27
l,l,l,0.7,0.2,0.1,8,manual,1
l,l,m,0.6,0.35,0.05,8,manual,2
l,l,h,0.5,0.4,0.1,8,manual,3
l,m,l,0.6,0.35,0.05,8,manual,4
l,m,m,0.55,0.4,0.05,8,manual,5
l,m,h,0.55,0.4,0.05,8,manual,6
l,h,l,0.5325,0.3675,0.1,8,manual,7
l,h,m,0.3,0.5,0.2,8,manual,8
l,h,h,0.1,0.565,0.335,8,manual,9
m,l,l,0.45,0.55,0,8,manual,10
m,l,m,0.4,0.55,0.05,8,manual,11
m,l,h,0.35,0.55,0.1,8,manual,12
m,m,l,0.2,0.4,0.4,8,manual,13
m,m,m,0.1,0.5,0.4,8,manual,14
m,m,h,0,0.5,0.5,8,manual,15
m,h,l,0.2,0.4,0.4,8,manual,16
m,h,m,0.1,0.5,0.4,8,manual,17
m,h,h,0,0.6,0.4,8,manual,18
h,l,l,0.47,0.53,0,8,manual,19
h,l,m,0.4,0.5,0.1,8,manual,20
h,l,h,0.3171,0.5329,0.15,8,manual,21
h,m,l,0.2,0.4,0.4,8,manual,22
h,m,m,0.1,0.4,0.5,8,manual,23
h,m,h,0.1,0.3,0.6,8,manual,24
h,h,l,0.1234,0.4066,0.47,8,manual,25
h,h,m,0.1,0.3,0.6,8,manual,26
h,h,h,0.15,0.3575,0.4925,8,manual,27
l,l,l,0.8,0.15,0.05,9,manual,1
l,l,m,0.6,0.3,0.1,9,manual,2
l,l,h,0.57,0.35,0.08,9,manual,3
l,m,l,0.7,0.25,0.05,9,manual,4
l,m,m,0.63,0.3,0.07,9,manual,5
l,m,h,0.6,0.3,0.1,9,manual,6
l,h,l,0.2,0.65,0.15,9,manual,7
l,h,m,0.15,0.7,0.15,9,manual,8
l,h,h,0.31,0.55,0.14,9,manual,9
m,l,l,0.7,0.25,0.05,9,manual,10
m,l,m,0.55,0.34,0.11,9,manual,11
m,l,h,0.5,0.38,0.12,9,manual,12
m,m,l,0.45,0.45,0.1,9,manual,13
m,m,m,0.2,0.6,0.2,9,manual,14
m,m,h,0.2,0.5,0.3,9,manual,15
m,h,l,0.25,0.63,0.12,9,manual,16
m,h,m,0.15,0.6,0.25,9,manual,17
m,h,h,0.1,0.6,0.3,9,manual,18
h,l,l,0.65,0.3,0.05,9,manual,19
h,l,m,0.5,0.4,0.1,9,manual,20
h,l,h,0.33,0.46,0.21,9,manual,21
h,m,l,0.4,0.55,0.05,9,manual,22
h,m,m,0.3,0.6,0.1,9,manual,23
h,m,h,0.2,0.6,0.2,9,manual,24
h,h,l,0.13,0.37,0.5,9,manual,25
h,h,m,0.12,0.38,0.5,9,manual,26
h,h,h,0.1,0.4,0.5,9,manual,27
l,l,l,0.8,0.15,0.05,10,manual,1
l,l,m,0.6,0.3,0.1,10,manual,2
l,l,h,0.57,0.35,0.08,10,manual,3
l,m,l,0.7,0.25,0.05,10,manual,4
l,m,m,0.63,0.3,0.07,10,manual,5
l,m,h,0.6,0.3,0.1,10,manual,6
l,h,l,0.2,0.65,0.15,10,manual,7
l,h,m,0.15,0.7,0.15,10,manual,8
l,h,h,0.31,0.55,0.14,10,manual,9
m,l,l,0.7,0.25,0.05,10,manual,10
m,l,m,0.55,0.34,0.11,10,manual,11
m,l,h,0.5,0.38,0.12,10,manual,12
m,m,l,0.45,0.45,0.1,10,manual,13
m,m,m,0.2,0.6,0.2,10,manual,14
m,m,h,0.2,0.5,0.3,10,manual,15
m,h,l,0.25,0.63,0.12,10,manual,16
m,h,m,0.15,0.6,0.25,10,manual,17
m,h,h,0.1,0.6,0.3,10,manual,18
h,l,l,0.65,0.3,0.05,10,manual,19
h,l,m,0.5,0.4,0.1,10,manual,20
h,l,h,0.33,0.46,0.21,10,manual,21
h,m,l,0.4,0.55,0.05,10,manual,22
h,m,m,0.3,0.6,0.1,10,manual,23
h,m,h,0.2,0.6,0.2,10,manual,24
h,h,l,0.13,0.37,0.5,10,manual,25
h,h,m,0.12,0.38,0.5,10,manual,26
h,h,h,0.1,0.4,0.5,10,manual,27